0.1481, 0.3812
0.1307, 0.4568
0.1268, 0.4828
0.1153, 0.5425
0.0936, 0.6492
0.0745, 0.7327
0.0576, 0.8036
0.0475, 0.8399
0.0413, 0.8599
0.0376, 0.8728
0.0348, 0.8822
0.0325, 0.8905
0.0304, 0.8976
0.0296, 0.9005
0.0279, 0.9064
0.0276, 0.9069
0.0262, 0.9118
0.0260, 0.9131
0.0251, 0.9159
0.0249, 0.9158
0.0261, 0.9126
0.0244, 0.9182
0.0249, 0.9166
0.0233, 0.9224
0.0240, 0.9195
0.0232, 0.9220
0.0235, 0.9214
0.0232, 0.9220
0.0232, 0.9222
0.0228, 0.9236
0.0222, 0.9256
0.0223, 0.9254
0.0224, 0.9252
0.0228, 0.9243
0.0223, 0.9253
0.0223, 0.9252
0.0219, 0.9269
0.0221, 0.9255
0.0222, 0.9258
0.0218, 0.9275
0.0227, 0.9248
0.0213, 0.9282
0.0222, 0.9255
0.0220, 0.9265
0.0209, 0.9303
0.0217, 0.9280
0.0214, 0.9285
0.0212, 0.9293
0.0215, 0.9286
0.0214, 0.9282
0.0209, 0.9299
0.0211, 0.9298
0.0210, 0.9305
0.0210, 0.9296
0.0215, 0.9279
0.0211, 0.9296
0.0211, 0.9298
0.0209, 0.9306
0.0210, 0.9305
0.0217, 0.9275
0.0210, 0.9303
0.0214, 0.9290
0.0209, 0.9305
0.0208, 0.9311
0.0204, 0.9315
0.0209, 0.9303
0.0212, 0.9295
0.0208, 0.9302
0.0205, 0.9321
0.0209, 0.9306
0.0208, 0.9304
0.0211, 0.9299
0.0206, 0.9314
0.0210, 0.9312
0.0205, 0.9321
0.0212, 0.9299
0.0206, 0.9314
0.0209, 0.9304
0.0208, 0.9311
0.0204, 0.9324
0.0202, 0.9331
0.0203, 0.9326
0.0203, 0.9325
0.0205, 0.9323
0.0204, 0.9324
0.0201, 0.9337
0.0203, 0.9327
0.0202, 0.9326
0.0204, 0.9332
0.0204, 0.9326
0.0204, 0.9324
0.0201, 0.9339
0.0203, 0.9328
0.0201, 0.9339
0.0203, 0.9330
0.0205, 0.9324
0.0212, 0.9304
0.0204, 0.9331
0.0201, 0.9331
0.0200, 0.9339
