5306,562,5329,5118
5246,572,5068,5084
5185,559,5005,5025
5254,568,5133,5166
5039,532,5243,5280
5327,579,5061,5084
5258,636,5208,5191
5116,635,5149,5058
5245,627,5002,5257
5158,594,5171,5241
5235,658,5160,5078
5130,656,5128,5124
5090,641,5225,5131
5075,676,5161,5116
5151,639,5354,5255
5176,677,5241,5174
5153,659,5092,5119
5079,710,5173,5325
5116,659,5175,5185
5090,719,5192,5112
5100,737,5142,5110
5182,724,5203,5113
5067,762,5139,5077
5220,748,5229,5074
5166,735,5172,5283
4930,698,5244,5274
5117,780,5085,5161
5040,737,5066,5027
5250,739,5200,5093
5102,770,5161,5254
5042,787,5164,5167
5152,804,5139,5066
5129,831,4994,5054
5011,746,5182,5051
5021,868,5079,5120
5132,843,5115,5001
5119,876,5002,5114
5093,869,5247,5001
5225,757,5119,5170
5066,900,5081,5222
5093,831,4934,5042
5174,844,5100,5036
4945,803,5159,5214
5112,891,5063,5172
5091,847,5134,5211
5053,915,5180,5134
4812,872,5132,5133
5188,865,5151,5034
5143,824,5109,5029
5137,929,5200,5039
4786,837,5155,5122
4949,889,5074,5170
4916,852,5104,5036
4969,868,4981,5127
4998,831,5069,5217
5001,917,5189,5126
5074,868,5239,5163
4841,873,5094,5153
5077,837,5205,5233
5037,844,5053,5073
5104,857,5149,5162
5045,845,5120,5258
5004,866,5103,5054
5221,916,5060,5049
5088,897,5156,5065
5093,860,5379,5124
5009,858,5141,5162
5066,885,5147,5007
5144,865,5021,5179
4925,1030,5142,5154
5063,915,5109,5091
4876,1011,5128,5098
5076,832,5095,5026
5093,930,5275,5192
5060,822,5161,5072
5078,944,5043,5139
5158,957,5209,5157
5028,967,5105,5186
5144,939,5136,5069
5004,945,5195,5059
4938,974,4949,5130
5133,940,5166,5119
4924,949,5094,5192
4902,1004,5114,5179
5053,1008,5113,5133
4976,1113,5043,5257
4902,1066,5023,5217
5158,1095,5084,5036
5033,1163,5228,5118
4730,1155,5093,5138
4799,1211,4945,5109
4821,1217,5163,5156
4905,1267,5124,5145
4706,1381,5189,4987
4792,1408,5264,5022
4751,1319,5067,5119
4732,1362,5185,5056
4830,1242,4952,5175
4912,1333,5184,4999
4808,1420,5094,5098
4860,1237,5071,4999
4737,1251,5189,5216
4838,1303,5141,5321
4727,1205,5160,5044
4794,1269,5176,5131
4922,1357,5282,5168
4790,1343,4979,5104
4736,1334,5070,5112
4928,1228,5191,5014
4834,1282,5089,5088
4875,1223,5008,4988
4679,1533,5022,5257
4837,1297,5121,5196
4945,1386,5178,5182
4761,1443,5207,5136
4638,1328,5099,5123
4792,1244,5178,5077
4796,1261,5139,4916
4881,1355,4966,5064
4807,1304,5118,5000
4956,1198,5084,5077
4704,1343,5013,5053
4858,1356,5004,5085
4808,1345,5227,5034
5007,1363,4985,4833
4887,1185,5165,5178
4747,1225,5011,5032
4847,1454,4961,5020
4761,1252,5336,5117
4767,1276,5064,5169
4830,1304,5028,5148
4947,1360,5142,5071
4878,1238,5041,5145
4865,1271,5021,5084
4785,1353,5083,5009
4850,1315,5208,5026
4866,1163,5209,5051
4846,1079,5012,5185
4973,934,5079,5124
4940,704,5054,5155
5109,641,5124,5166
5003,700,5178,5219
5102,804,5235,5136
5056,933,5115,4974
4884,1118,5137,5042
5070,1093,5143,5097
4981,1242,5054,5152
5071,1290,5110,5061
4796,1349,5057,5082
4984,1224,5124,5125
4894,1217,5334,5214
4811,1273,5086,5089
5005,1339,5172,5254
4801,1377,5037,5054
5029,1250,5228,5053
4870,1297,5090,5185
4822,1333,5166,5195
4706,1272,5126,4984
4865,1275,5245,5243
4902,1236,5179,5238
4944,1151,5204,5203
4919,1240,5227,4999
4767,1289,5073,5126
4803,1269,5156,5045
4782,1327,5062,5019
4871,1381,5107,5042
4875,1186,5033,5239
4691,1325,4886,4885
4645,1256,5092,5106
4894,1335,5057,5135
4969,1253,5053,5101
4781,1298,5088,5123
4856,1407,5119,4959
4842,1127,5216,4954
4843,1318,5192,5018
4801,1342,5175,5192
4881,1234,5038,5039
4895,1307,5005,5176
4792,1394,5045,4939
5018,1284,5279,5076
4800,1208,5032,5058
4860,1206,5161,5150
4809,1218,5054,5259
4762,1318,5239,5135
4813,1352,5120,5017
4849,1400,5212,5105
4883,1318,5207,5102
4896,1244,5007,5212
4827,1245,5213,4971
4920,1162,5153,5119
4921,1293,5183,5020
4713,1284,5005,5108
4800,1338,5095,5183
4827,1290,4960,5102
4704,1266,5058,5196
4730,1307,5029,5126
4901,1256,5262,5204
4860,1389,5112,5124
4756,1279,5264,5213
4801,1363,5264,5073
4928,1292,4996,5176
4876,1284,5288,4957
5021,1263,5109,5131
5018,1331,5252,5184
4828,1431,5062,5047
